2026-07-14T17:03:19.429+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000031", "method": "GET", "path": "/api/v1/attendance-logs", "status": 200, "duration": "7.8597ms"}
2026-07-14T17:03:19.431+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000030", "method": "GET", "path": "/api/v1/employees", "status": 200, "duration": "9.9534ms"}
2026-07-14T17:03:19.464+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000034", "method": "GET", "path": "/api/v1/shifts", "status": 200, "duration": "13.2967ms"}
2026-07-14T17:03:19.466+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000033", "method": "GET", "path": "/api/v1/audit-logs", "status": 200, "duration": "16.153ms"}
2026-07-14T17:03:19.494+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000032", "method": "GET", "path": "/api/v1/sync-history", "status": 200, "duration": "72.1897ms"}
2026-07-14T17:03:19.525+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000035", "method": "GET", "path": "/api/v1/dashboard/stats", "status": 200, "duration": "62.7939ms"}
2026-07-14T17:03:19.550+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000036", "method": "GET", "path": "/api/v1/daily-attendance/report", "status": 200, "duration": "9.6473ms"}
2026-07-14T17:03:19.566+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000037", "method": "GET", "path": "/api/v1/devices", "status": 200, "duration": "1.4641ms"}
2026-07-14T17:03:19.568+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000038", "method": "GET", "path": "/api/v1/employees", "status": 200, "duration": "1.6644ms"}
2026-07-14T17:03:19.573+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000039", "method": "GET", "path": "/api/v1/attendance-logs", "status": 200, "duration": "3.7954ms"}
2026-07-14T17:03:19.585+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000043", "method": "GET", "path": "/api/v1/audit-logs", "status": 200, "duration": "4.1613ms"}
2026-07-14T17:03:19.590+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000042", "method": "GET", "path": "/api/v1/shifts", "status": 200, "duration": "9.0908ms"}
2026-07-14T17:03:19.609+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000041", "method": "GET", "path": "/api/v1/dashboard/stats", "status": 200, "duration": "31.0475ms"}
2026-07-14T17:03:19.612+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000040", "method": "GET", "path": "/api/v1/sync-history", "status": 200, "duration": "35.9053ms"}
2026-07-14T17:03:19.645+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000044", "method": "GET", "path": "/api/v1/devices", "status": 200, "duration": "757.1µs"}
2026-07-14T17:03:19.647+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000045", "method": "GET", "path": "/api/v1/employees", "status": 200, "duration": "2.5231ms"}
2026-07-14T17:03:19.701+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000048", "method": "GET", "path": "/api/v1/dashboard/stats", "status": 200, "duration": "54.0389ms"}
2026-07-14T17:03:19.704+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000047", "method": "GET", "path": "/api/v1/attendance-logs", "status": 200, "duration": "57.2354ms"}
2026-07-14T17:03:19.706+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000049", "method": "GET", "path": "/api/v1/shifts", "status": 200, "duration": "6.6237ms"}
2026-07-14T17:03:19.713+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000050", "method": "GET", "path": "/api/v1/audit-logs", "status": 200, "duration": "12.1572ms"}
2026-07-14T17:03:19.732+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000046", "method": "GET", "path": "/api/v1/sync-history", "status": 200, "duration": "85.8884ms"}
2026-07-14T17:03:19.831+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000051", "method": "GET", "path": "/api/v1/daily-attendance/report", "status": 200, "duration": "5.4619ms"}
